countyfips,party_simple,lng,lat,votes
1099,REPUBLICAN,-87.36529615,31.57107175,6147
1101,DEMOCRAT,-86.20787706,32.22089414,64529
1101,REPUBLICAN,-86.20787706,32.22089414,33311
1103,DEMOCRAT,-86.85325062,34.45331009,13234
1103,REPUBLICAN,-86.85325062,34.45331009,39664
1105,DEMOCRAT,-87.29424703,32.63859284,3860
1105,REPUBLICAN,-87.29424703,32.63859284,1339
1107,DEMOCRAT,-88.08923504,33.28058298,4022
1107,REPUBLICAN,-88.08923504,33.28058298,5594
1109,DEMOCRAT,-85.94087373,31.80232564,5636
1109,REPUBLICAN,-85.94087373,31.80232564,8042
1111,DEMOCRAT,-85.45918107,33.29354361,2203
1111,REPUBLICAN,-85.45918107,33.29354361,8559
1113,DEMOCRAT,-85.18428296,32.28806204,11228
1113,REPUBLICAN,-85.18428296,32.28806204,9864
1115,DEMOCRAT,-86.31476905,33.71540022,7744
1115,REPUBLICAN,-86.31476905,33.71540022,36166
1117,DEMOCRAT,-86.66137476,33.26405258,33268
1117,REPUBLICAN,-86.66137476,33.26405258,79700
1119,DEMOCRAT,-88.19904039,32.59104949,4648
1119,REPUBLICAN,-88.19904039,32.59104949,1598
1121,DEMOCRAT,-86.16587666,33.37992421,13138
1121,REPUBLICAN,-86.16587666,33.37992421,22235
1123,DEMOCRAT,-85.79746538,32.86280802,5859
1123,REPUBLICAN,-85.79746538,32.86280802,14963
1125,DEMOCRAT,-87.52558359,33.28952146,37765
1125,REPUBLICAN,-87.52558359,33.28952146,51117
1127,DEMOCRAT,-87.29727889,33.80316281,4834
1127,REPUBLICAN,-87.29727889,33.80316281,26002
1129,DEMOCRAT,-88.20819419,31.40759248,2258
1129,REPUBLICAN,-88.20819419,31.40759248,6564
1131,DEMOCRAT,-87.30786547,31.98928301,4048
1131,REPUBLICAN,-87.30786547,31.98928301,1833
1133,DEMOCRAT,-87.37341176,34.14959585,974
1133,REPUBLICAN,-87.37341176,34.14959585,10195
4001,DEMOCRAT,-109.488754,35.39559896,23293
4001,REPUBLICAN,-109.488754,35.39559896,11442
4003,DEMOCRAT,-109.7510129,31.87959362,23732
4003,REPUBLICAN,-109.7510129,31.87959362,35557
4005,DEMOCRAT,-111.7705493,35.83875351,44698
4005,REPUBLICAN,-111.7705493,35.83875351,27052
4007,DEMOCRAT,-110.8119677,33.79996932,8943
4007,REPUBLICAN,-110.8119677,33.79996932,18377
4009,DEMOCRAT,-109.8875198,32.93295414,4034
4009,REPUBLICAN,-109.8875198,32.93295414,10749
4011,DEMOCRAT,-109.2401561,33.21537146,1182
4011,REPUBLICAN,-109.2401561,33.21537146,2433
4012,DEMOCRAT,-113.981207,33.7291609,2236
4012,REPUBLICAN,-113.981207,33.7291609,5129
4013,DEMOCRAT,-112.4908888,33.34875974,1040774
4013,REPUBLICAN,-112.4908888,33.34875974,995665
4015,DEMOCRAT,-113.7581706,35.70456821,24831
4015,REPUBLICAN,-113.7581706,35.70456821,78535
4017,DEMOCRAT,-110.3213121,35.39960537,23383
4017,REPUBLICAN,-110.3213121,35.39960537,27657
4019,DEMOCRAT,-111.7896381,32.09723099,304981
4019,REPUBLICAN,-111.7896381,32.09723099,207758
4021,DEMOCRAT,-111.34488,32.90415087,75106
4021,REPUBLICAN,-111.34488,32.90415087,107077
4023,DEMOCRAT,-110.8466869,31.52598116,13138
4023,REPUBLICAN,-110.8466869,31.52598116,6194
4025,DEMOCRAT,-112.5538467,34.59969928,49602
4025,REPUBLICAN,-112.5538467,34.59969928,91527
4027,DEMOCRAT,-113.9058099,32.76933672,32210
4027,REPUBLICAN,-113.9058099,32.76933672,36534
5001,DEMOCRAT,-91.37520643,34.29076839,1818
5001,REPUBLICAN,-91.37520643,34.29076839,4304
5003,DEMOCRAT,-91.76814114,33.19120398,2125
5003,REPUBLICAN,-91.76814114,33.19120398,5548
5005,DEMOCRAT,-92.33686558,36.28715062,4635
5005,REPUBLICAN,-92.33686558,36.28715062,15836
5007,DEMOCRAT,-94.25598718,36.33873798,42249
5007,REPUBLICAN,-94.25598718,36.33873798,73965
5009,DEMOCRAT,-93.09137415,36.30874792,3064
5009,REPUBLICAN,-93.09137415,36.30874792,13652
5011,DEMOCRAT,-92.16229542,33.46613806,1214
5011,REPUBLICAN,-92.16229542,33.46613806,2335
5013,DEMOCRAT,-92.50253376,33.55786388,479
5013,REPUBLICAN,-92.50253376,33.55786388,1636
5015,DEMOCRAT,-93.53832319,36.34107901,4023
5015,REPUBLICAN,-93.53832319,36.34107901,7424
5017,DEMOCRAT,-91.29365079,33.2673446,2260
5017,REPUBLICAN,-91.29365079,33.2673446,1752
5019,DEMOCRAT,-93.17667235,34.05108285,3438
5019,REPUBLICAN,-93.17667235,34.05108285,4616
5021,DEMOCRAT,-90.41718919,36.36822542,962
5021,REPUBLICAN,-90.41718919,36.36822542,4086
5023,DEMOCRAT,-92.02725586,35.53853919,1988
5023,REPUBLICAN,-92.02725586,35.53853919,10328
5025,DEMOCRAT,-92.18489948,33.89823609,651
5025,REPUBLICAN,-92.18489948,33.89823609,2867
5027,DEMOCRAT,-93.22737493,33.2142428,2814
5027,REPUBLICAN,-93.22737493,33.2142428,5500
5029,DEMOCRAT,-92.70098811,35.26227905,2615
5029,REPUBLICAN,-92.70098811,35.26227905,5694
5031,DEMOCRAT,-90.63270647,35.8310138,11921
5031,REPUBLICAN,-90.63270647,35.8310138,25558
5033,DEMOCRAT,-94.24296995,35.588841,4959
5033,REPUBLICAN,-94.24296995,35.588841,18607
5035,DEMOCRAT,-90.30924635,35.20762172,8514
5035,REPUBLICAN,-90.30924635,35.20762172,7333
5037,DEMOCRAT,-90.77181286,35.29547453,1772
5037,REPUBLICAN,-90.77181286,35.29547453,4946
5039,DEMOCRAT,-92.65420664,33.96953994,963
5039,REPUBLICAN,-92.65420664,33.96953994,1573
5041,DEMOCRAT,-91.2539449,33.83346926,2016
5041,REPUBLICAN,-91.2539449,33.83346926,1921
5043,DEMOCRAT,-91.71972855,33.58957425,2426
5043,REPUBLICAN,-91.71972855,33.58957425,4349
5045,DEMOCRAT,-92.33201857,35.14732521,18347
5045,REPUBLICAN,-92.33201857,35.14732521,34421
5047,DEMOCRAT,-93.89070916,35.51229968,1300
5047,REPUBLICAN,-93.89070916,35.51229968,5677
5049,DEMOCRAT,-91.81767336,36.3818346,1035
5049,REPUBLICAN,-91.81767336,36.3818346,3961
5051,DEMOCRAT,-93.15048723,34.57659951,14045
5051,REPUBLICAN,-93.15048723,34.57659951,29069
5053,DEMOCRAT,-92.42371463,34.29002049,1268
5053,REPUBLICAN,-92.42371463,34.29002049,6794
5055,DEMOCRAT,-90.55895377,36.11773282,3058
