primarykey,combinedfips,countyfips,statefips,party_simple,lng,lat,votes
101073138843,101073,1073,1,REPUBLICAN,-86.89657084,33.5543433,138843
101075978,101075,1075,1,DEMOCRAT,-88.09715315,33.77909349,978
1010756174,101075,1075,1,REPUBLICAN,-88.09715315,33.77909349,6174
10107711915,101077,1077,1,DEMOCRAT,-87.65411658,34.9015002,11915
10107731721,101077,1077,1,REPUBLICAN,-87.65411658,34.9015002,31721
1010793562,101079,1079,1,DEMOCRAT,-87.31085381,34.52223687,3562
10107912322,101079,1079,1,REPUBLICAN,-87.31085381,34.52223687,12322
10108127860,101081,1081,1,DEMOCRAT,-85.35522451,32.60106116,27860
10108142221,101081,1081,1,REPUBLICAN,-85.35522451,32.60106116,42221
10108313672,101083,1083,1,DEMOCRAT,-86.98207203,34.81013487,13672
10108334640,101083,1083,1,REPUBLICAN,-86.98207203,34.81013487,34640
1010854972,101085,1085,1,DEMOCRAT,-86.65002353,32.1550404,4972
1010851836,101085,1085,1,REPUBLICAN,-86.65002353,32.1550404,1836
1010877108,101087,1087,1,DEMOCRAT,-85.69260703,32.38585029,7108
1010871541,101087,1087,1,REPUBLICAN,-85.69260703,32.38585029,1541
10108987286,101089,1089,1,DEMOCRAT,-86.55056927,34.76292257,87286
101089102780,101089,1089,1,REPUBLICAN,-86.55056927,34.76292257,102780
1010915488,101091,1091,1,DEMOCRAT,-87.78920946,32.24794915,5488
1010915343,101091,1091,1,REPUBLICAN,-87.78920946,32.24794915,5343
1010931463,101093,1093,1,DEMOCRAT,-87.88740606,34.13691856,1463
10109312205,101093,1093,1,REPUBLICAN,-87.88740606,34.13691856,12205
1010955943,101095,1095,1,DEMOCRAT,-86.30615623,34.36690867,5943
10109533191,101095,1095,1,REPUBLICAN,-86.30615623,34.36690867,33191
10109779474,101097,1097,1,DEMOCRAT,-88.20659057,30.77909854,79474
101097101243,101097,1097,1,REPUBLICAN,-88.20659057,30.77909854,101243
1010994455,101099,1099,1,DEMOCRAT,-87.36529615,31.57107175,4455
1010996147,101099,1099,1,REPUBLICAN,-87.36529615,31.57107175,6147
10110164529,101101,1101,1,DEMOCRAT,-86.20787706,32.22089414,64529
10110133311,101101,1101,1,REPUBLICAN,-86.20787706,32.22089414,33311
10110313234,101103,1103,1,DEMOCRAT,-86.85325062,34.45331009,13234
10110339664,101103,1103,1,REPUBLICAN,-86.85325062,34.45331009,39664
1011053860,101105,1105,1,DEMOCRAT,-87.29424703,32.63859284,3860
1011051339,101105,1105,1,REPUBLICAN,-87.29424703,32.63859284,1339
1011074022,101107,1107,1,DEMOCRAT,-88.08923504,33.28058298,4022
1011075594,101107,1107,1,REPUBLICAN,-88.08923504,33.28058298,5594
1011095636,101109,1109,1,DEMOCRAT,-85.94087373,31.80232564,5636
1011098042,101109,1109,1,REPUBLICAN,-85.94087373,31.80232564,8042
1011112203,101111,1111,1,DEMOCRAT,-85.45918107,33.29354361,2203
1011118559,101111,1111,1,REPUBLICAN,-85.45918107,33.29354361,8559
10111311228,101113,1113,1,DEMOCRAT,-85.18428296,32.28806204,11228
1011139864,101113,1113,1,REPUBLICAN,-85.18428296,32.28806204,9864
1011157744,101115,1115,1,DEMOCRAT,-86.31476905,33.71540022,7744
10111536166,101115,1115,1,REPUBLICAN,-86.31476905,33.71540022,36166
10111733268,101117,1117,1,DEMOCRAT,-86.66137476,33.26405258,33268
10111779700,101117,1117,1,REPUBLICAN,-86.66137476,33.26405258,79700
1011194648,101119,1119,1,DEMOCRAT,-88.19904039,32.59104949,4648
1011191598,101119,1119,1,REPUBLICAN,-88.19904039,32.59104949,1598
10112113138,101121,1121,1,DEMOCRAT,-86.16587666,33.37992421,13138
10112122235,101121,1121,1,REPUBLICAN,-86.16587666,33.37992421,22235
1011235859,101123,1123,1,DEMOCRAT,-85.79746538,32.86280802,5859
10112314963,101123,1123,1,REPUBLICAN,-85.79746538,32.86280802,14963
10112537765,101125,1125,1,DEMOCRAT,-87.52558359,33.28952146,37765
10112551117,101125,1125,1,REPUBLICAN,-87.52558359,33.28952146,51117
1011274834,101127,1127,1,DEMOCRAT,-87.29727889,33.80316281,4834
10112726002,101127,1127,1,REPUBLICAN,-87.29727889,33.80316281,26002
1011292258,101129,1129,1,DEMOCRAT,-88.20819419,31.40759248,2258
1011296564,101129,1129,1,REPUBLICAN,-88.20819419,31.40759248,6564
1011314048,101131,1131,1,DEMOCRAT,-87.30786547,31.98928301,4048
1011311833,101131,1131,1,REPUBLICAN,-87.30786547,31.98928301,1833
101133974,101133,1133,1,DEMOCRAT,-87.37341176,34.14959585,974
10113310195,101133,1133,1,REPUBLICAN,-87.37341176,34.14959585,10195
40400123293,404001,4001,4,DEMOCRAT,-109.488754,35.39559896,23293
40400111442,404001,4001,4,REPUBLICAN,-109.488754,35.39559896,11442
40400323732,404003,4003,4,DEMOCRAT,-109.7510129,31.87959362,23732
40400335557,404003,4003,4,REPUBLICAN,-109.7510129,31.87959362,35557
40400544698,404005,4005,4,DEMOCRAT,-111.7705493,35.83875351,44698
40400527052,404005,4005,4,REPUBLICAN,-111.7705493,35.83875351,27052
4040078943,404007,4007,4,DEMOCRAT,-110.8119677,33.79996932,8943
40400718377,404007,4007,4,REPUBLICAN,-110.8119677,33.79996932,18377
4040094034,404009,4009,4,DEMOCRAT,-109.8875198,32.93295414,4034
40400910749,404009,4009,4,REPUBLICAN,-109.8875198,32.93295414,10749
4040111182,404011,4011,4,DEMOCRAT,-109.2401561,33.21537146,1182
4040112433,404011,4011,4,REPUBLICAN,-109.2401561,33.21537146,2433
4040122236,404012,4012,4,DEMOCRAT,-113.981207,33.7291609,2236
4040125129,404012,4012,4,REPUBLICAN,-113.981207,33.7291609,5129
4040131040774,404013,4013,4,DEMOCRAT,-112.4908888,33.34875974,1040774
404013995665,404013,4013,4,REPUBLICAN,-112.4908888,33.34875974,995665
40401524831,404015,4015,4,DEMOCRAT,-113.7581706,35.70456821,24831
40401578535,404015,4015,4,REPUBLICAN,-113.7581706,35.70456821,78535
40401723383,404017,4017,4,DEMOCRAT,-110.3213121,35.39960537,23383
40401727657,404017,4017,4,REPUBLICAN,-110.3213121,35.39960537,27657
404019304981,404019,4019,4,DEMOCRAT,-111.7896381,32.09723099,304981
404019207758,404019,4019,4,REPUBLICAN,-111.7896381,32.09723099,207758
40402175106,404021,4021,4,DEMOCRAT,-111.34488,32.90415087,75106
404021107077,404021,4021,4,REPUBLICAN,-111.34488,32.90415087,107077
40402313138,404023,4023,4,DEMOCRAT,-110.8466869,31.52598116,13138
4040236194,404023,4023,4,REPUBLICAN,-110.8466869,31.52598116,6194
40402549602,404025,4025,4,DEMOCRAT,-112.5538467,34.59969928,49602
40402591527,404025,4025,4,REPUBLICAN,-112.5538467,34.59969928,91527
40402732210,404027,4027,4,DEMOCRAT,-113.9058099,32.76933672,32210
40402736534,404027,4027,4,REPUBLICAN,-113.9058099,32.76933672,36534
5050011818,505001,5001,5,DEMOCRAT,-91.37520643,34.29076839,1818
5050014304,505001,5001,5,REPUBLICAN,-91.37520643,34.29076839,4304
5050032125,505003,5003,5,DEMOCRAT,-91.76814114,33.19120398,2125
