combinedfips,countyfips,statefips,party,lng,lat,votes
101101,1101,1,republican,-86.20787706,32.22089414,48695
101103,1103,1,democratic,-86.85325062,34.45331009,18608
101103,1103,1,republican,-86.85325062,34.45331009,56481
101105,1105,1,democratic,-87.29424703,32.63859284,7256
101105,1105,1,republican,-87.29424703,32.63859284,1980
101107,1107,1,democratic,-88.08923504,33.28058298,7296
101107,1107,1,republican,-88.08923504,33.28058298,7055
101109,1109,1,democratic,-85.94087373,31.80232564,8752
101109,1109,1,republican,-85.94087373,31.80232564,10447
101111,1111,1,democratic,-85.45918107,33.29354361,3974
101111,1111,1,republican,-85.45918107,33.29354361,10834
101113,1113,1,democratic,-85.18428296,32.28806204,17236
101113,1113,1,republican,-85.18428296,32.28806204,14103
101115,1115,1,democratic,-86.31476905,33.71540022,9005
101115,1115,1,republican,-86.31476905,33.71540022,49462
101117,1117,1,democratic,-86.66137476,33.26405258,35213
101117,1117,1,republican,-86.66137476,33.26405258,114727
101119,1119,1,democratic,-88.19904039,32.59104949,9051
101119,1119,1,republican,-88.19904039,32.59104949,2193
101121,1121,1,democratic,-86.16587666,33.37992421,22174
101121,1121,1,republican,-86.16587666,33.37992421,31838
101123,1123,1,democratic,-85.79746538,32.86280802,9860
101123,1123,1,republican,-85.79746538,32.86280802,19491
101125,1125,1,democratic,-87.52558359,33.28952146,53228
101125,1125,1,republican,-87.52558359,33.28952146,72886
101127,1127,1,democratic,-87.29727889,33.80316281,7154
101127,1127,1,republican,-87.29727889,33.80316281,34732
101129,1129,1,democratic,-88.20819419,31.40759248,4355
101129,1129,1,republican,-88.20819419,31.40759248,7899
101131,1131,1,democratic,-87.30786547,31.98928301,7842
101131,1131,1,republican,-87.30786547,31.98928301,2393
101133,1133,1,democratic,-87.37341176,34.14959585,1315
101133,1133,1,republican,-87.37341176,34.14959585,14160
404001,4001,4,democratic,-109.488754,35.39559896,17083
404001,4001,4,republican,-109.488754,35.39559896,8240
404003,4003,4,democratic,-109.7510129,31.87959362,17448
404003,4003,4,republican,-109.7510129,31.87959362,28080
404005,4005,4,democratic,-111.7705493,35.83875351,32404
404005,4005,4,republican,-111.7705493,35.83875351,21108
404007,4007,4,democratic,-110.8119677,33.79996932,7003
404007,4007,4,republican,-110.8119677,33.79996932,14182
404009,4009,4,democratic,-109.8875198,32.93295414,3301
404009,4009,4,republican,-109.8875198,32.93295414,8025
404011,4011,4,democratic,-109.2401561,33.21537146,1092
404011,4011,4,republican,-109.2401561,33.21537146,1892
404012,4012,4,democratic,-113.981207,33.7291609,1575
404012,4012,4,republican,-113.981207,33.7291609,4003
404013,4013,4,democratic,-112.4908888,33.34875974,702907
404013,4013,4,republican,-112.4908888,33.34875974,747361
404015,4015,4,democratic,-113.7581706,35.70456821,17455
404015,4015,4,republican,-113.7581706,35.70456821,58282
404017,4017,4,democratic,-110.3213121,35.39960537,16459
404017,4017,4,republican,-110.3213121,35.39960537,20577
404019,4019,4,democratic,-111.7896381,32.09723099,224661
404019,4019,4,republican,-111.7896381,32.09723099,167428
404021,4021,4,democratic,-111.34488,32.90415087,47892
404021,4021,4,republican,-111.34488,32.90415087,72819
404023,4023,4,democratic,-110.8466869,31.52598116,11690
404023,4023,4,republican,-110.8466869,31.52598116,3897
404025,4025,4,democratic,-112.5538467,34.59969928,35590
404025,4025,4,republican,-112.5538467,34.59969928,71330
404027,4027,4,democratic,-113.9058099,32.76933672,24605
404027,4027,4,republican,-113.9058099,32.76933672,25165
505001,5001,5,democratic,-91.37520643,34.29076839,1939
505001,5001,5,republican,-91.37520643,34.29076839,3826
505003,5003,5,democratic,-91.76814114,33.19120398,2408
505003,5003,5,republican,-91.76814114,33.19120398,5338
505005,5005,5,democratic,-92.33686558,36.28715062,4169
505005,5005,5,republican,-92.33686558,36.28715062,14682
505007,5007,5,democratic,-94.25598718,36.33873798,28005
